id,title,description,price,link,availability,condition,gtin,etiqueta personalizada 0,image link,google product category,brand,ecommerceVisits,obsolete,authorsFlat,normalizedCategory,stockQuantity,lang
9780099470434,The Curious Incident of the Dog in the Night-Time,,6.65 EUR,https://tienda.hamelyn.com/libros-segunda-mano/the-curious-incident-of-the-dog-in-the-nighttime-9780099470434,in stock,used,9780099470434,libros,https://ul2efuvs5p2hmdcb.public.blob.vercel-storage.com/9780099470434.jpg,Media > Books,Hamelyn,0,False,Mark Haddon,Libros,10,en
9780141324906,Diary of a Wimpy Kid,,5.99 EUR,https://tienda.hamelyn.com/libros-segunda-mano/diary-of-a-wimpy-kid-9780141324906,in stock,used,9780141324906,libros,https://ul2efuvs5p2hmdcb.public.blob.vercel-storage.com/9780141324906.jpg,Media > Books,Hamelyn,0,False,Jeff Kinney,Libros,10,en
9780141365374,Charlie and the Chocolate Factory,,5.69 EUR,https://tienda.hamelyn.com/libros-segunda-mano/charlie-and-the-chocolate-factory-9780141365374,in stock,used,9780141365374,libros,https://ul2efuvs5p2hmdcb.public.blob.vercel-storage.com/9780141365374.jpg,Media > Books,Hamelyn,0,False,Roald Dahl,Libros,10,en
9780194168458,Amazing Rooftops 6. Class Book,,10.22 EUR,https://tienda.hamelyn.com/libros-segunda-mano/amazing-rooftops-6-class-book-9780194168458,in stock,used,9780194168458,libros,https://ul2efuvs5p2hmdcb.public.blob.vercel-storage.com/9780194168458.jpg,Media > Books,Oxford,0,False,,Libros,10,en
9780194233804,England,,7.71 EUR,https://tienda.hamelyn.com/libros-segunda-mano/england-9780194233804,in stock,used,9780194233804,libros,https://ul2efuvs5p2hmdcb.public.blob.vercel-storage.com/9780194233804.jpg,Media > Books,Oxford,0,False,,Libros,10,en
9780194233859,Ireland,,6.83 EUR,https://tienda.hamelyn.com/libros-segunda-mano/ireland-9780194233859,in stock,used,9780194233859,libros,https://ul2efuvs5p2hmdcb.public.blob.vercel-storage.com/9780194233859.jpg,Media > Books,Oxford,0,False,,Libros,10,en
9780194247016,Around the World in Eighty Days,,7.86 EUR,https://tienda.hamelyn.com/libros-segunda-mano/around-the-world-in-eighty-days-9780194247016,in stock,used,9780194247016,libros,https://ul2efuvs5p2hmdcb.public.blob.vercel-storage.com/9780194247016.jpg,Media > Books,Oxford,0,False,Jules Verne,Libros,10,en
9780194790529,Anne of Green Gables,,5.84 EUR,https://tienda.hamelyn.com/libros-segunda-mano/anne-of-green-gables-9780194790529,in stock,used,9780194790529,libros,https://ul2efuvs5p2hmdcb.public.blob.vercel-storage.com/9780194790529.jpg,Media > Books,Hamelyn,0,False,L. M. Montgomery,Libros,10,en
9780747532743,Harry Potter and the Philosopher's Stone,,6.65 EUR,https://tienda.hamelyn.com/libros-segunda-mano/harry-potter-and-the-philosophers-stone-9780747532743,in stock,used,9780747532743,libros,https://ul2efuvs5p2hmdcb.public.blob.vercel-storage.com/9780747532743.jpg,Media > Books,Bloomsbury,0,False,J. K. Rowling,Libros,10,en
9788401301544,Cien años de soledad,,5.69 EUR,https://tienda.hamelyn.com/libros-segunda-mano/cien-anos-de-soledad-9788401301544,in stock,used,9788401301544,libros,https://ul2efuvs5p2hmdcb.public.blob.vercel-storage.com/9788401301544.jpg,Media > Books,Editorial Sudamericana,0,False,Gabriel García Márquez,Libros,10,es
9788401498824,El resplandor,,5.84 EUR,https://tienda.hamelyn.com/libros-segunda-mano/el-resplandor-9788401498824,in stock,used,9788401498824,libros,https://ul2efuvs5p2hmdcb.public.blob.vercel-storage.com/9788401498824.jpg,Media > Books,Plaza & Janés,0,False,Stephen King,Libros,10,es
9788401498862,El misterio de Salem's Lot,,5.84 EUR,https://tienda.hamelyn.com/libros-segunda-mano/el-misterio-de-salems-lot-9788401498862,in stock,used,9788401498862,libros,https://ul2efuvs5p2hmdcb.public.blob.vercel-storage.com/9788401498862.jpg,Media > Books,Plaza & Janés,0,False,Stephen King,Libros,10,es
9788401342196,El umbral de la eternidad,,7.19 EUR,https://tienda.hamelyn.com/libros-segunda-mano/el-umbral-de-la-eternidad-9788401342196,in stock,used,9788401342196,libros,https://ul2efuvs5p2hmdcb.public.blob.vercel-storage.com/9788401342196.jpg,Media > Books,Plaza & Janés,0,False,Ken Follett,Libros,10,es
9780876120989,Autobiografía de un Yogui,,8.40 EUR,https://tienda.hamelyn.com/libros-segunda-mano/autobiografia-de-un-yogui-9780876120989,in stock,used,9780876120989,libros,https://ul2efuvs5p2hmdcb.public.blob.vercel-storage.com/9780876120989.jpg,Media > Books,Self-Realization Fellowship,0,False,Paramahansa Yogananda,Libros,10,es
9780960638857,Un Curso De Milagros,,16.49 EUR,https://tienda.hamelyn.com/libros-segunda-mano/un-curso-de-milagros-9780960638857,in stock,used,9780960638857,libros,https://ul2efuvs5p2hmdcb.public.blob.vercel-storage.com/9780960638857.jpg,Media > Books,Foundation for Inner Peace,0,False,,Libros,10,es
